court_region,judge_id,judge_grant_rate,claim_amount,debtor_type,has_pledge,has_guarantor,case_duration,result,is_individual
СПб,judge_СПб_1,0.6962378120346018,22000.0,ООО (среднее),1,0,59,1,0
Москва,judge_Москва_0,0.4949765510836051,78000.0,ФЛ,0,1,77,1,1
Респ. Татарстан,judge_Респ. Татарстан_11,0.4934694796289753,48000.0,ФЛ,0,0,122,0,1
Нижегородская обл.,judge_Нижегородская обл._4,0.7203411928148589,28000.0,ФЛ,0,0,107,1,1
СПб,judge_СПб_3,0.30608941849439775,127000.0,ФЛ,0,1,85,0,1
Москва,judge_Москва_3,0.6868450123265756,32000.0,ФЛ,0,0,55,0,1
Москва,judge_Москва_2,0.5973860833744824,488000.0,ФЛ,0,0,61,0,1
СПб,judge_СПб_1,0.6962378120346018,434000.0,ООО (микро),0,1,55,1,0
СПб,judge_СПб_8,0.6986980958047201,147000.0,ИП,0,0,103,0,0
Свердловская обл.,judge_Свердловская обл._0,0.46558243192520654,126000.0,ФЛ,0,0,76,0,1
Нижегородская обл.,judge_Нижегородская обл._6,0.642500809326077,211000.0,ООО (микро),0,0,105,1,0
СПб,judge_СПб_0,0.5340483498342926,385000.0,ООО (микро),0,0,56,1,0
Свердловская обл.,judge_Свердловская обл._0,0.46558243192520654,341000.0,ООО (микро),0,0,94,0,0
Респ. Татарстан,judge_Респ. Татарстан_1,0.6178298186747367,77000.0,ООО (среднее),0,0,79,1,0
Москва,judge_Москва_3,0.6868450123265756,195000.0,ФЛ,0,1,67,1,1
Нижегородская обл.,judge_Нижегородская обл._3,0.48320182692395874,356000.0,ИП,0,1,112,0,0
Новосибирская обл.,judge_Новосибирская обл._8,0.34134336065661497,16000.0,ООО (среднее),0,0,63,0,0
СПб,judge_СПб_9,0.5475544822505934,461000.0,ФЛ,0,0,87,0,1
Свердловская обл.,judge_Свердловская обл._0,0.46558243192520654,386000.0,ООО (среднее),0,0,51,0,0
Респ. Татарстан,judge_Респ. Татарстан_8,0.6082253693537969,451000.0,ФЛ,0,0,97,0,1
СПб,judge_СПб_3,0.30608941849439775,205000.0,ООО (малое),0,1,81,0,0
Свердловская обл.,judge_Свердловская обл._5,0.6790459586423476,52000.0,ФЛ,0,0,78,1,1
Нижегородская обл.,judge_Нижегородская обл._8,0.5686827615500023,109000.0,ФЛ,0,0,63,0,1
СПб,judge_СПб_6,0.533613288350523,469000.0,ФЛ,0,0,64,0,1
СПб,judge_СПб_3,0.30608941849439775,21000.0,ИП,0,0,53,0,0
Москва,judge_Москва_7,0.5007196575036572,84000.0,ООО (малое),0,0,69,1,0
СПб,judge_СПб_9,0.5475544822505934,72000.0,ФЛ,1,0,65,1,1
Москва,judge_Москва_4,0.45831731561816286,249000.0,ФЛ,0,0,41,0,1
Нижегородская обл.,judge_Нижегородская обл._0,0.5317380518489024,303000.0,ФЛ,0,0,87,0,1
Новосибирская обл.,judge_Новосибирская обл._2,0.5563547027518508,58000.0,ФЛ,0,0,106,0,1
Нижегородская обл.,judge_Нижегородская обл._6,0.642500809326077,197000.0,ФЛ,0,0,95,1,1
Респ. Татарстан,judge_Респ. Татарстан_5,0.5691224450222956,1187000.0,ФЛ,0,0,113,0,1
Москва,judge_Москва_4,0.45831731561816286,61000.0,ФЛ,0,1,83,0,1
СПб,judge_СПб_2,0.7038714967614599,2055000.0,ФЛ,1,1,89,1,1
Свердловская обл.,judge_Свердловская обл._1,0.5584023369884185,403000.0,ИП,0,1,113,1,0
Респ. Татарстан,judge_Респ. Татарстан_5,0.5691224450222956,47000.0,ООО (микро),1,0,94,1,0
Москва,judge_Москва_1,0.6015433072450408,581000.0,ФЛ,0,0,88,0,1
СПб,judge_СПб_1,0.6962378120346018,41000.0,ИП,0,0,97,1,0
СПб,judge_СПб_6,0.533613288350523,155000.0,ООО (малое),0,0,72,1,0
Новосибирская обл.,judge_Новосибирская обл._1,0.3273509633866546,1536000.0,ООО (микро),0,0,173,0,0
Свердловская обл.,judge_Свердловская обл._2,0.3102321329116037,214000.0,ФЛ,0,0,77,0,1
Свердловская обл.,judge_Свердловская обл._6,0.5327957474080793,10000.0,ФЛ,0,0,88,0,1
Респ. Татарстан,judge_Респ. Татарстан_5,0.5691224450222956,140000.0,ФЛ,0,0,94,0,1
Свердловская обл.,judge_Свердловская обл._4,0.8,108000.0,ООО (малое),1,1,94,1,0
Нижегородская обл.,judge_Нижегородская обл._4,0.7203411928148589,264000.0,ИП,1,0,84,1,0
Москва,judge_Москва_0,0.4949765510836051,471000.0,ФЛ,0,0,68,0,1
Нижегородская обл.,judge_Нижегородская обл._7,0.7589774702863046,216000.0,ФЛ,0,0,116,0,1
Новосибирская обл.,judge_Новосибирская обл._8,0.34134336065661497,959000.0,ФЛ,0,0,86,0,1
Свердловская обл.,judge_Свердловская обл._0,0.46558243192520654,27000.0,ООО (микро),0,0,106,1,0
Москва,judge_Москва_6,0.34890371102553724,84000.0,ФЛ,0,0,32,0,1
Москва,judge_Москва_1,0.6015433072450408,334000.0,ООО (малое),1,0,64,1,0
Москва,judge_Москва_8,0.589257975040246,70000.0,ООО (среднее),0,0,56,1,0
Нижегородская обл.,judge_Нижегородская обл._4,0.7203411928148589,209000.0,ФЛ,0,0,70,0,1
Респ. Татарстан,judge_Респ. Татарстан_10,0.42300118919042506,32000.0,ФЛ,0,0,78,0,1
СПб,judge_СПб_9,0.5475544822505934,153000.0,ФЛ,0,0,70,0,1
Свердловская обл.,judge_Свердловская обл._6,0.5327957474080793,193000.0,ФЛ,0,0,110,0,1
СПб,judge_СПб_5,0.5248956031914224,160000.0,ООО (микро),0,0,60,1,0
Москва,judge_Москва_9,0.4570815333069441,212000.0,ИП,0,0,64,0,0
Краснодарский край,judge_Краснодарский край_1,0.5873184192069558,335000.0,ФЛ,0,0,73,0,1
Москва,judge_Москва_1,0.6015433072450408,244000.0,ФЛ,0,0,79,0,1
Нижегородская обл.,judge_Нижегородская обл._0,0.5317380518489024,118000.0,ФЛ,0,1,78,1,1
Новосибирская обл.,judge_Новосибирская обл._3,0.40990419651217924,332000.0,ООО (микро),1,0,114,1,0
Респ. Татарстан,judge_Респ. Татарстан_4,0.7462656674021114,217000.0,ИП,0,0,49,1,0
Нижегородская обл.,judge_Нижегородская обл._1,0.5895566969268613,212000.0,ИП,0,0,52,0,0
Москва,judge_Москва_3,0.6868450123265756,329000.0,ФЛ,0,0,78,0,1
СПб,judge_СПб_1,0.6962378120346018,12000.0,ИП,0,0,104,1,0
Новосибирская обл.,judge_Новосибирская обл._6,0.7778417276763406,54000.0,ООО (малое),0,1,62,1,0
Нижегородская обл.,judge_Нижегородская обл._4,0.7203411928148589,35000.0,ФЛ,0,0,63,1,1
Москва,judge_Москва_7,0.5007196575036572,115000.0,ФЛ,0,0,103,0,1
Свердловская обл.,judge_Свердловская обл._5,0.6790459586423476,103000.0,ФЛ,0,0,68,0,1
Свердловская обл.,judge_Свердловская обл._6,0.5327957474080793,170000.0,ООО (малое),0,0,125,1,0
Москва,judge_Москва_5,0.5375852819727232,461000.0,ООО (микро),0,0,79,0,0
Москва,judge_Москва_2,0.5973860833744824,22000.0,ООО (микро),0,0,47,1,0
СПб,judge_СПб_5,0.5248956031914224,12000.0,ИП,0,0,65,0,0
Свердловская обл.,judge_Свердловская обл._2,0.3102321329116037,1174000.0,ИП,0,0,132,0,0
